                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86517,                 2.0075,                 1.2099,                0.79198,                0.86292,                 0.8825,                0.65358,                0.87684,                 1.3193,                 1.1436,              0.0033247,              0.0033247,              0.0033247
                      2,                0.79466,                 1.1936,                 1.1461,                0.74565,                0.83144,                0.84407,                0.57143,                 1.1447,                 1.2475,                 1.3821,              0.0066031,              0.0066031,              0.0066031
                      3,                0.89373,                 1.1207,                 1.1982,                0.51615,                0.68404,                0.54095,                0.26903,                  1.583,                 1.7262,                 1.7422,              0.0098265,              0.0098265,              0.0098265
                      4,                0.95805,                 1.1147,                 1.2459,                0.58628,                0.59795,                0.59443,                0.29328,                 1.5462,                 1.5986,                 1.7358,              0.0097525,              0.0097525,              0.0097525
                      5,                0.93076,                 1.0351,                 1.2248,                 0.4975,                 0.7164,                0.54542,                 0.2561,                 1.5576,                 1.4465,                 1.7599,              0.0097525,              0.0097525,              0.0097525
                      6,                  0.872,                0.95615,                 1.1869,                0.63725,                 0.7703,                0.73215,                0.41446,                 1.4528,                 1.2701,                 1.6461,                0.00967,                0.00967,                0.00967
                      7,                0.83166,                0.90505,                 1.1639,                0.66366,                0.76411,                0.75963,                0.41809,                  1.555,                 1.2253,                 1.6607,              0.0095875,              0.0095875,              0.0095875
                      8,                0.81561,                 0.8663,                 1.1569,                 0.6751,                0.78474,                0.79441,                0.50924,                 1.2564,                 1.0691,                 1.4415,               0.009505,               0.009505,               0.009505
                      9,                0.77883,                0.82023,                 1.1364,                0.78575,                0.84966,                0.83087,                0.51954,                 1.1919,                 0.9218,                 1.4075,              0.0094225,              0.0094225,              0.0094225
                     10,                0.76548,                 0.7964,                 1.1304,                0.63959,                0.76403,                0.70428,                0.35687,                 1.4563,                 1.0927,                 1.6147,                0.00934,                0.00934,                0.00934
                     11,                0.74214,                0.75759,                 1.1096,                0.69856,                0.73349,                0.73869,                0.40119,                 1.4467,                 1.2365,                 1.6218,              0.0092575,              0.0092575,              0.0092575
                     12,                0.73887,                0.74533,                 1.1114,                0.81234,                0.85786,                0.86146,                0.50599,                 1.3278,                0.91821,                 1.5419,               0.009175,               0.009175,               0.009175
                     13,                0.70027,                0.72001,                 1.0877,                0.68555,                0.80866,                0.76424,                 0.4331,                 1.3068,                 1.0955,                 1.4521,              0.0090925,              0.0090925,              0.0090925
                     14,                0.69364,                0.69513,                 1.0849,                0.80605,                0.78103,                0.85808,                0.56869,                 1.1952,                 1.0609,                 1.4198,                0.00901,                0.00901,                0.00901
                     15,                0.68157,                0.68315,                  1.077,                0.78043,                0.84206,                 0.8394,                0.48838,                 1.3204,                0.97484,                 1.4943,              0.0089275,              0.0089275,              0.0089275
                     16,                0.66749,                0.65817,                 1.0688,                0.83683,                0.87358,                0.88994,                0.59411,                  1.173,                0.83115,                 1.3719,               0.008845,               0.008845,               0.008845
                     17,                0.66597,                0.64948,                 1.0695,                0.75509,                0.77254,                0.82058,                0.50192,                 1.3732,                 1.1305,                 1.5199,              0.0087625,              0.0087625,              0.0087625
                     18,                 0.6495,                0.64035,                 1.0562,                0.78878,                0.86902,                0.83645,                0.53519,                 1.1965,                0.91536,                 1.3909,                0.00868,                0.00868,                0.00868
                     19,                0.64933,                0.62819,                 1.0588,                0.51279,                0.62984,                 0.4285,                0.25703,                 1.8512,                 1.6537,                 1.9297,              0.0085975,              0.0085975,              0.0085975
                     20,                0.63754,                0.61849,                 1.0501,                0.69991,                 0.7574,                0.74547,                 0.4556,                 1.3681,                 1.2568,                 1.5106,               0.008515,               0.008515,               0.008515
                     21,                0.63008,                 0.6101,                 1.0524,                   0.69,                0.81663,                0.72705,                0.45836,                 1.4233,                 1.2632,                 1.5986,              0.0084325,              0.0084325,              0.0084325
                     22,                0.61662,                0.58924,                  1.038,                0.82022,                0.82802,                 0.8926,                 0.5916,                 1.2188,                0.87965,                 1.4175,                0.00835,                0.00835,                0.00835
                     23,                 0.6041,                0.59356,                 1.0391,                0.76802,                 0.8041,                0.83158,                0.50678,                 1.3452,                 1.0366,                 1.4971,              0.0082675,              0.0082675,              0.0082675
                     24,                0.60247,                0.57136,                 1.0342,                0.80291,                 0.7779,                0.84835,                0.57181,                 1.2167,                0.97152,                 1.4118,               0.008185,               0.008185,               0.008185
                     25,                0.60371,                0.56936,                 1.0363,                0.88289,                0.88442,                0.92308,                0.59684,                   1.21,                 0.7572,                  1.343,              0.0081025,              0.0081025,              0.0081025
                     26,                0.59144,                0.56372,                 1.0266,                0.84087,                0.85194,                0.89196,                0.60191,                 1.1455,                0.96821,                 1.3547,                0.00802,                0.00802,                0.00802
                     27,                0.58526,                 0.5527,                 1.0295,                0.89862,                0.87927,                0.91291,                0.60417,                 1.1562,                0.74979,                  1.348,              0.0079375,              0.0079375,              0.0079375
                     28,                 0.5863,                0.54921,                 1.0286,                0.70137,                0.78377,                0.79401,                0.52015,                 1.3181,                 1.0569,                 1.4673,               0.007855,               0.007855,               0.007855
                     29,                0.58916,                0.55313,                 1.0289,                0.82388,                 0.9111,                0.88351,                0.58122,                 1.1358,                 0.7834,                 1.3255,              0.0077725,              0.0077725,              0.0077725
                     30,                0.58199,                0.54168,                 1.0221,                0.83657,                 0.8451,                0.90857,                0.62325,                 1.0814,                0.85558,                 1.3048,                0.00769,                0.00769,                0.00769
                     31,                0.56701,                0.53087,                 1.0258,                0.88742,                0.84396,                0.90921,                0.64274,                 1.0582,                0.72251,                 1.2737,              0.0076075,              0.0076075,              0.0076075
                     32,                0.56898,                0.52668,                 1.0166,                0.88393,                0.91072,                0.93657,                0.62659,                 1.1474,                 0.6725,                 1.3715,               0.007525,               0.007525,               0.007525
                     33,                0.55751,                0.52252,                 1.0095,                0.81613,                0.86955,                0.89968,                0.58452,                 1.2758,                0.89518,                 1.4724,              0.0074425,              0.0074425,              0.0074425
                     34,                 0.5654,                0.52037,                 1.0155,                0.81699,                0.90205,                0.90101,                0.59809,                 1.1665,                0.84186,                 1.3997,                0.00736,                0.00736,                0.00736
                     35,                0.54349,                0.50588,                 1.0055,                0.82843,                0.86788,                0.88514,                0.55001,                  1.276,                0.88773,                 1.4922,              0.0072775,              0.0072775,              0.0072775
                     36,                0.54975,                0.50131,                 1.0107,                0.89829,                0.93547,                0.92744,                0.62418,                 1.0714,                0.64664,                 1.2597,               0.007195,               0.007195,               0.007195
                     37,                0.54956,                0.50499,                  1.001,                 0.8538,                0.86902,                 0.8809,                 0.5415,                  1.269,                0.85402,                 1.4684,              0.0071125,              0.0071125,              0.0071125
                     38,                0.53516,                0.48796,                 1.0069,                0.84714,                0.87358,                 0.8904,                 0.5879,                 1.1573,                0.82893,                 1.3371,                0.00703,                0.00703,                0.00703
                     39,                0.53301,                0.48522,                0.99466,                0.82309,                0.86905,                0.87288,                0.56395,                 1.2114,                0.81875,                 1.3558,              0.0069475,              0.0069475,              0.0069475
